id,part,qty,length_mm,width_mm,thickness_mm,material,grain,notes
Front-L-A1,Front-L · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Front-L-A2,Front-L · Bottom,1,624.0,594.0,18.0,sheet,none,between sides
Front-L-A3,Front-L · Top stretcher,2,624.0,80.0,18.0,sheet,none,front & back top rail
Front-L-B1,Front-L · Back,1,782.0,624.0,6.0,back panel,none,rabbeted back
Front-L-D1,Front-L · Drawer front #1,1,654.0,160.0,18.0,door/front,length,overlay
Front-L-E1,Front-L · Drawer 1 box side,2,569.0,120.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-L-E2,Front-L · Drawer 1 box front/back,2,610.6,120.0,12.0,drawer box,none,
Front-L-E3,Front-L · Drawer 1 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-L-A4,Front-L · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-L-D2,Front-L · Drawer front #2,1,654.0,230.0,18.0,door/front,length,overlay
Front-L-E4,Front-L · Drawer 2 box side,2,569.0,190.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-L-E5,Front-L · Drawer 2 box front/back,2,610.6,190.0,12.0,drawer box,none,
Front-L-E6,Front-L · Drawer 2 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-L-A5,Front-L · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-L-D3,Front-L · Drawer front #3,1,654.0,300.0,18.0,door/front,length,overlay
Front-L-E7,Front-L · Drawer 3 box side,2,569.0,260.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-L-E8,Front-L · Drawer 3 box front/back,2,610.6,260.0,12.0,drawer box,none,
Front-L-E9,Front-L · Drawer 3 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-L-A6,Front-L · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-M-A1,Front-M · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Front-M-A2,Front-M · Bottom,1,473.0,594.0,18.0,sheet,none,between sides
Front-M-A3,Front-M · Top stretcher,2,473.0,80.0,18.0,sheet,none,front & back top rail
Front-M-B1,Front-M · Back,1,782.0,473.0,6.0,back panel,none,rabbeted back
Front-M-D1,Front-M · Drawer front #1,1,503.0,190.0,18.0,door/front,length,overlay
Front-M-E1,Front-M · Drawer 1 box side,2,569.0,150.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-M-E2,Front-M · Drawer 1 box front/back,2,459.6,150.0,12.0,drawer box,none,
Front-M-E3,Front-M · Drawer 1 box bottom,1,483.6,569.0,6.0,back panel,none,captured in groove
Front-M-A4,Front-M · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-M-D2,Front-M · Drawer front #2,1,503.0,250.0,18.0,door/front,length,overlay
Front-M-E4,Front-M · Drawer 2 box side,2,569.0,210.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-M-E5,Front-M · Drawer 2 box front/back,2,459.6,210.0,12.0,drawer box,none,
Front-M-E6,Front-M · Drawer 2 box bottom,1,483.6,569.0,6.0,back panel,none,captured in groove
Front-M-A5,Front-M · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-M-D3,Front-M · Drawer front #3,1,503.0,260.0,18.0,door/front,length,overlay
Front-M-E7,Front-M · Drawer 3 box side,2,569.0,220.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-M-E8,Front-M · Drawer 3 box front/back,2,459.6,220.0,12.0,drawer box,none,
Front-M-E9,Front-M · Drawer 3 box bottom,1,483.6,569.0,6.0,back panel,none,captured in groove
Front-M-A6,Front-M · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-R-A1,Front-R · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Front-R-A2,Front-R · Bottom,1,624.0,594.0,18.0,sheet,none,between sides
Front-R-A3,Front-R · Top stretcher,2,624.0,80.0,18.0,sheet,none,front & back top rail
Front-R-B1,Front-R · Back,1,782.0,624.0,6.0,back panel,none,rabbeted back
Front-R-D1,Front-R · Drawer front #1,1,654.0,150.0,18.0,door/front,length,overlay
Front-R-E1,Front-R · Drawer 1 box side,2,569.0,110.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-R-E2,Front-R · Drawer 1 box front/back,2,610.6,110.0,12.0,drawer box,none,
Front-R-E3,Front-R · Drawer 1 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-R-A4,Front-R · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-R-D2,Front-R · Drawer front #2,1,654.0,220.0,18.0,door/front,length,overlay
Front-R-E4,Front-R · Drawer 2 box side,2,569.0,180.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-R-E5,Front-R · Drawer 2 box front/back,2,610.6,180.0,12.0,drawer box,none,
Front-R-E6,Front-R · Drawer 2 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-R-A5,Front-R · Drawer 2 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Front-R-D3,Front-R · Drawer front #3,1,654.0,320.0,18.0,door/front,length,overlay
Front-R-E7,Front-R · Drawer 3 box side,2,569.0,280.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Front-R-E8,Front-R · Drawer 3 box front/back,2,610.6,280.0,12.0,drawer box,none,
Front-R-E9,Front-R · Drawer 3 box bottom,1,634.6,569.0,6.0,back panel,none,captured in groove
Front-R-A6,Front-R · Drawer 3 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-R-A1,Back-R · Side,2,800.0,600.0,18.0,sheet,length,full-height gable
Back-R-A2,Back-R · Bottom,1,574.0,594.0,18.0,sheet,none,between sides
Back-R-A3,Back-R · Top stretcher,2,574.0,80.0,18.0,sheet,none,front & back top rail
Back-R-B1,Back-R · Back,1,782.0,574.0,6.0,back panel,none,rabbeted back
Back-R-D1,Back-R · Drawer front #1,1,604.0,200.0,18.0,door/front,length,overlay
Back-R-E1,Back-R · Drawer 1 box side,2,569.0,160.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-R-E2,Back-R · Drawer 1 box front/back,2,560.6,160.0,12.0,drawer box,none,
Back-R-E3,Back-R · Drawer 1 box bottom,1,584.6,569.0,6.0,back panel,none,captured in groove
Back-R-A4,Back-R · Drawer 1 wood runner,2,569.0,30.0,18.0,solid panel,length,hardwood side runner; screwed to carcass, drawer rides it
Back-R-D2,Back-R · Drawer front #2,1,604.0,240.0,18.0,door/front,length,overlay
Back-R-E4,Back-R · Drawer 2 box side,2,569.0,200.0,12.0,drawer box,none,grooved for bottom + a side groove to ride the wood runner
Back-R-E5,Back-R · Drawer 2 box front/back,2,560.6,200.0,12.0,drawer box,none,
