id,part,operation,u_mm,v_mm,dia_mm,depth_mm,note
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 1,37.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 1,300.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 1,550.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 2,37.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 2,300.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 2,550.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 3,37.0,251.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 3,300.0,251.0,4.0,12.0,
Front-L-A1,Front-L · Side L,wood runner screws — Drawer front 3,550.0,251.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 1,37.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 1,300.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 1,550.0,717.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 2,37.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 2,300.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 2,550.0,519.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 3,37.0,251.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 3,300.0,251.0,4.0,12.0,
Front-L-A1,Front-L · Side R,wood runner screws — Drawer front 3,550.0,251.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 1,37.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 1,300.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 1,550.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 2,37.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 2,300.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 2,550.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 3,37.0,221.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 3,300.0,221.0,4.0,12.0,
Front-M-A1,Front-M · Side L,wood runner screws — Drawer front 3,550.0,221.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 1,37.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 1,300.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 1,550.0,702.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 2,37.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 2,300.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 2,550.0,479.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 3,37.0,221.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 3,300.0,221.0,4.0,12.0,
Front-M-A1,Front-M · Side R,wood runner screws — Drawer front 3,550.0,221.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 1,37.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 1,300.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 1,550.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 2,37.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 2,300.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 2,550.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 3,37.0,261.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 3,300.0,261.0,4.0,12.0,
Front-R-A1,Front-R · Side L,wood runner screws — Drawer front 3,550.0,261.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 1,37.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 1,300.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 1,550.0,722.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 2,37.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 2,300.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 2,550.0,534.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 3,37.0,261.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 3,300.0,261.0,4.0,12.0,
Front-R-A1,Front-R · Side R,wood runner screws — Drawer front 3,550.0,261.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 1,37.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 1,300.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 1,550.0,697.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 2,37.0,474.0,4.0,12.0,
Back-R-A1,Back-R · Side L,wood runner screws — Drawer front 2,300.0,474.0,4.0,12.0,
